,data,precipitacao,pressao_atm,radiacao,temperatura_ar,temperatura_orvalho,umidade_rel,vento_direcao,vento_rajada_max,vento_velocidade,temperatura_min,temperatura_max,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max,internacoes
80,2020-08-04,0.0,1019.0291666666668,1294.4363636363637,19.504166666666663,13.75,72.91666666666667,154.625,2.608333333333333,0.9291666666666668,13.4,27.0,50.23708333333334,10.4325,35.14791666666667,27.730833333333333,,20.39,4.54,10.81,0.98,,90.48,56.8,66.85,115.6,,3
81,2020-08-05,0.0083333333333333,1017.6625,1351.7181818181818,18.241666666666667,12.220833333333331,71.95833333333333,172.875,3.7000000000000006,1.3791666666666664,12.2,25.7,47.86,4.335833333333333,30.68260869565217,22.72833333333333,,47.86,3.83,13.43,0.98,,47.86,5.41,65.11,70.89,,4
82,2020-08-06,0.0,1017.0083333333332,1345.5727272727272,18.991666666666667,12.204166666666667,67.875,190.58333333333331,2.775,1.05,12.9,27.1,33.7975,12.308750000000002,32.6925,22.72791666666667,,20.97,3.79,11.36,0.98,,73.74,108.3,70.84,91.47,,3
83,2020-08-07,0.0,1017.5375,1155.790909090909,17.6625,13.987500000000002,80.5,117.625,3.329166666666667,1.0708333333333333,14.6,23.7,39.2278947368421,4.014583333333333,26.609583333333333,32.541666666666664,,19.93,3.46,19.46,0.98,,85.68,6.41,35.53,86.6,,2
84,2020-08-08,0.0,1018.7208333333332,905.0,15.304166666666667,13.004166666666668,86.58333333333333,110.25,3.3833333333333333,1.1708333333333334,13.4,19.8,13.34315789473684,3.7937500000000006,20.09958333333333,35.96083333333333,,6.0,3.13,14.52,20.27,,28.6,5.69,34.13,61.9,,2
85,2020-08-09,0.0,1014.9041666666668,1331.1,16.962500000000002,12.5875,78.66666666666667,147.66666666666666,2.7,0.9041666666666668,12.3,25.4,26.00470588235294,18.621666666666663,27.26708333333333,41.06208333333333,,6.0,2.87,13.58,0.98,,47.69,87.35,43.91,124.5,,1
86,2020-08-10,0.0,1006.0375,1299.0545454545454,20.766666666666666,13.362500000000002,66.125,197.41666666666663,3.1291666666666664,1.225,14.0,29.7,28.1495,22.92708333333333,33.770833333333336,22.452916666666663,,6.0,4.12,12.72,0.98,,53.66,186.7,66.94,69.87,,2
87,2020-08-11,0.0916666666666666,1010.3041666666668,359.39090909090913,15.045833333333333,8.504166666666666,65.95833333333333,173.20833333333334,4.9625,1.2958333333333334,9.9,24.6,20.65458333333333,3.303333333333333,22.230416666666667,31.31,,6.0,2.5,12.86,0.98,,59.75,6.37,42.57,45.16,,6
88,2020-08-12,1.4916666666666665,1012.1708333333332,137.84545454545457,9.341666666666669,8.491666666666667,94.5,124.04166666666669,5.483333333333333,1.5750000000000002,6.6,12.5,7.367083333333333,2.5191666666666666,22.652500000000003,26.953333333333333,,6.0,2.1,11.34,0.98,,19.74,3.39,39.17,46.64,,2
89,2020-08-13,0.4583333333333333,1006.8833333333332,235.6,13.475,12.925,96.54166666666669,224.08333333333331,3.520833333333333,1.075,12.1,14.9,7.31,5.164166666666667,29.7475,5.9375,,6.0,2.49,19.74,0.98,,17.97,15.94,40.4,19.86,,2
90,2020-08-14,0.025,1006.6375000000002,978.1727272727276,16.208333333333332,14.520833333333334,90.29166666666669,123.16666666666669,3.9500000000000006,1.275,13.7,20.4,7.497391304347826,2.54,21.00708333333333,24.89833333333333,,6.0,2.28,13.45,0.98,,18.21,2.82,35.43,51.21,,0
91,2020-08-15,0.075,1001.9166666666666,953.0,17.416666666666668,13.995833333333332,81.125,229.875,6.233333333333334,2.075,15.0,20.6,10.189583333333331,13.95,23.62833333333333,36.01291666666666,,6.0,2.31,12.71,9.8,,35.75,150.9,38.1,64.2,,1
